sprite1,0,0,209,209
sprite2,209,0,209,209
sprite3,418,0,209,209
sprite4,627,0,209,209
sprite5,836,0,209,209
sprite6,1045,0,209,209
sprite7,0,209,209,209
sprite8,209,209,209,209
sprite9,418,209,209,209
sprite10,627,209,209,209
sprite11,836,209,209,209
sprite12,1045,209,209,209
sprite13,0,418,209,209
sprite14,209,418,209,209
sprite15,418,418,209,209
sprite16,627,418,209,209
sprite17,836,418,209,209
sprite18,1045,418,209,209
sprite19,0,627,209,209
sprite20,209,627,209,209
sprite21,418,627,209,209
sprite22,627,627,209,209
sprite23,836,627,209,209
sprite24,1045,627,209,209
sprite25,0,836,209,209
sprite26,209,836,209,209
sprite27,418,836,209,209
sprite28,627,836,209,209
sprite29,836,836,209,209
sprite30,1045,836,209,209
sprite31,0,1045,209,209
sprite32,209,1045,209,209
sprite33,418,1045,209,209
sprite34,627,1045,209,209
sprite35,836,1045,209,209
sprite36,1045,1045,209,209
